xi,lambda_1,lambda_1_degen,T_X
0j,(-0.05+0j),(-0.05+0j),(20+0j)
(0.1+0j),(-0.05-0.1j),(-0.05+0.1j),(20+0j)
(0.2+0j),(-0.05-0.2j),(-0.05+0.2j),(20+0j)
(0.30000000000000004+0j),(-0.05-0.30000000000000004j),(-0.05+0.30000000000000004j),(20+0j)
(0.4+0j),(-0.05-0.4j),(-0.05+0.4j),(20+0j)
(0.5+0j),(-0.05-0.5j),(-0.05+0.5j),(20+0j)
(0.6000000000000001+0j),(-0.05-0.6000000000000001j),(-0.05+0.6000000000000001j),(20+0j)
(0.7000000000000001+0j),(-0.05-0.7000000000000001j),(-0.05+0.7000000000000001j),(20+0j)
(0.8+0j),(-0.05-0.8j),(-0.05+0.8j),(20+0j)
(0.9+0j),(-0.05-0.9j),(-0.05+0.9j),(20+0j)
(1+0j),(-0.05-1j),(-0.05+1j),(20+0j)
(1.1+0j),(-0.05-1.1j),(-0.05+1.1j),(20+0j)
(1.2000000000000002+0j),(-0.05-1.2000000000000002j),(-0.05+1.2000000000000002j),(20+0j)
(1.3+0j),(-0.05-1.3j),(-0.05+1.3j),(20+0j)
(1.4000000000000001+0j),(-0.05-1.4000000000000001j),(-0.05+1.4000000000000001j),(20+0j)
(1.5+0j),(-0.05-1.5j),(-0.05+1.5j),(20+0j)
(1.6+0j),(-0.05-1.6j),(-0.05+1.6j),(20+0j)
(1.7000000000000002+0j),(-0.05-1.7000000000000002j),(-0.05+1.7000000000000002j),(20+0j)
(1.8+0j),(-0.05-1.8j),(-0.05+1.8j),(20+0j)
(1.9000000000000001+0j),(-0.05-1.9000000000000001j),(-0.05+1.9000000000000001j),(20+0j)
(2+0j),(-0.05-2j),(-0.05+2j),(20+0j)
(2.1+0j),(-0.05-2.1j),(-0.05+2.1j),(20+0j)
(2.2+0j),(-0.05-2.2j),(-0.05+2.2j),(20+0j)
(2.3000000000000003+0j),(-0.05-2.3000000000000003j),(-0.05+2.3000000000000003j),(20+0j)
(2.4000000000000004+0j),(-0.05-2.4000000000000004j),(-0.05+2.4000000000000004j),(20+0j)
(2.5+0j),(-0.05-2.5j),(-0.05+2.5j),(20+0j)
(2.6+0j),(-0.05-2.6j),(-0.05+2.6j),(20+0j)
(2.7+0j),(-0.05-2.7j),(-0.05+2.7j),(20+0j)
(2.8000000000000003+0j),(-0.05-2.8000000000000003j),(-0.05+2.8000000000000003j),(20+0j)
(2.9000000000000004+0j),(-0.05-2.9000000000000004j),(-0.05+2.9000000000000004j),(20+0j)
(3+0j),(-0.05-3j),(-0.05+3j),(20+0j)
(3.1+0j),(-0.05-3.1j),(-0.05+3.1j),(20+0j)
(3.2+0j),(-0.05-3.2j),(-0.05+3.2j),(20+0j)
(3.3000000000000003+0j),(-0.05-3.3000000000000003j),(-0.05+3.3000000000000003j),(20+0j)
(3.4000000000000004+0j),(-0.05-3.4000000000000004j),(-0.05+3.4000000000000004j),(20+0j)
(3.5+0j),(-0.05-3.5j),(-0.05+3.5j),(20+0j)
(3.6+0j),(-0.05-3.6j),(-0.05+3.6j),(20+0j)
(3.7+0j),(-0.05-3.7j),(-0.05+3.7j),(20+0j)
(3.8000000000000003+0j),(-0.05-3.8000000000000003j),(-0.05+3.8000000000000003j),(20+0j)
(3.9000000000000004+0j),(-0.05-3.9000000000000004j),(-0.05+3.9000000000000004j),(20+0j)
(4+0j),(-0.05-4j),(-0.05+4j),(20+0j)
(4.1000000000000005+0j),(-0.05-4.1000000000000005j),(-0.05+4.1000000000000005j),(20+0j)
(4.2+0j),(-0.05-4.2j),(-0.05+4.2j),(20+0j)
(4.3+0j),(-0.05-4.3j),(-0.05+4.3j),(20+0j)
(4.4+0j),(-0.05-4.4j),(-0.05+4.4j),(20+0j)
(4.5+0j),(-0.05-4.5j),(-0.05+4.5j),(20+0j)
(4.6000000000000005+0j),(-0.05-4.6000000000000005j),(-0.05+4.6000000000000005j),(20+0j)
(4.7+0j),(-0.05-4.7j),(-0.05+4.7j),(20+0j)
(4.800000000000001+0j),(-0.05-4.800000000000001j),(-0.05+4.800000000000001j),(20+0j)
(4.9+0j),(-0.05-4.9j),(-0.05+4.9j),(20+0j)
(5+0j),(-0.05-5j),(-0.05+5j),(20+0j)
(5.1000000000000005+0j),(-0.05-5.1000000000000005j),(-0.05+5.1000000000000005j),(20+0j)
(5.2+0j),(-0.05-5.2j),(-0.05+5.2j),(20+0j)
(5.300000000000001+0j),(-0.05-5.300000000000001j),(-0.05+5.300000000000001j),(20+0j)
(5.4+0j),(-0.05-5.4j),(-0.05+5.4j),(20+0j)
(5.5+0j),(-0.05-5.5j),(-0.05+5.5j),(20+0j)
(5.6000000000000005+0j),(-0.05-5.6000000000000005j),(-0.05+5.6000000000000005j),(20+0j)
(5.7+0j),(-0.05-5.7j),(-0.05+5.7j),(20+0j)
(5.800000000000001+0j),(-0.05-5.800000000000001j),(-0.05+5.800000000000001j),(20+0j)
(5.9+0j),(-0.05-5.9j),(-0.05+5.9j),(20+0j)
(6+0j),(-0.05-6j),(-0.05+6j),(20+0j)
(6.1000000000000005+0j),(-0.05-6.1000000000000005j),(-0.05+6.1000000000000005j),(20+0j)
(6.2+0j),(-0.05-6.2j),(-0.05+6.2j),(20+0j)
(6.300000000000001+0j),(-0.05-6.300000000000001j),(-0.05+6.300000000000001j),(20+0j)
(6.4+0j),(-0.05-6.4j),(-0.05+6.4j),(20+0j)
(6.5+0j),(-0.05-6.5j),(-0.05+6.5j),(20+0j)
(6.6000000000000005+0j),(-0.05-6.6000000000000005j),(-0.05+6.6000000000000005j),(20+0j)
(6.7+0j),(-0.05-6.7j),(-0.05+6.7j),(20+0j)
(6.800000000000001+0j),(-0.05-6.800000000000001j),(-0.05+6.800000000000001j),(20+0j)
(6.9+0j),(-0.05-6.9j),(-0.05+6.9j),(20+0j)
(7+0j),(-0.05-7j),(-0.05+7j),(20+0j)
(7.1000000000000005+0j),(-0.05-7.1000000000000005j),(-0.05+7.1000000000000005j),(20+0j)
(7.2+0j),(-0.05-7.2j),(-0.05+7.2j),(20+0j)
(7.300000000000001+0j),(-0.05-7.300000000000001j),(-0.05+7.300000000000001j),(20+0j)
(7.4+0j),(-0.05-7.4j),(-0.05+7.4j),(20+0j)
(7.5+0j),(-0.05-7.5j),(-0.05+7.5j),(20+0j)
(7.6000000000000005+0j),(-0.05-7.6000000000000005j),(-0.05+7.6000000000000005j),(20+0j)
(7.7+0j),(-0.05-7.7j),(-0.05+7.7j),(20+0j)
(7.800000000000001+0j),(-0.05-7.800000000000001j),(-0.05+7.800000000000001j),(20+0j)
(7.9+0j),(-0.05-7.9j),(-0.05+7.9j),(20+0j)
(8+0j),(-0.05-8j),(-0.05+8j),(20+0j)
(8.1+0j),(-0.05-8.1j),(-0.05+8.1j),(20+0j)
(8.200000000000001+0j),(-0.05-8.200000000000001j),(-0.05+8.200000000000001j),(20+0j)
(8.3+0j),(-0.05-8.3j),(-0.05+8.3j),(20+0j)
(8.4+0j),(-0.05-8.4j),(-0.05+8.4j),(20+0j)
(8.5+0j),(-0.05-8.5j),(-0.05+8.5j),(20+0j)
(8.6+0j),(-0.05-8.6j),(-0.05+8.6j),(20+0j)
(8.700000000000001+0j),(-0.05-8.700000000000001j),(-0.05+8.700000000000001j),(20+0j)
(8.8+0j),(-0.05-8.8j),(-0.05+8.8j),(20+0j)
(8.9+0j),(-0.05-8.9j),(-0.05+8.9j),(20+0j)
(9+0j),(-0.05-9j),(-0.05+9j),(20+0j)
(9.1+0j),(-0.05-9.1j),(-0.05+9.1j),(20+0j)
(9.200000000000001+0j),(-0.05-9.200000000000001j),(-0.05+9.200000000000001j),(20+0j)
(9.3+0j),(-0.05-9.3j),(-0.05+9.3j),(20+0j)
(9.4+0j),(-0.05-9.4j),(-0.05+9.4j),(20+0j)
(9.5+0j),(-0.05-9.5j),(-0.05+9.5j),(20+0j)
(9.600000000000001+0j),(-0.05-9.600000000000001j),(-0.05+9.600000000000001j),(20+0j)
(9.700000000000001+0j),(-0.05-9.700000000000001j),(-0.05+9.700000000000001j),(20+0j)
(9.8+0j),(-0.05-9.8j),(-0.05+9.8j),(20+0j)
(9.9+0j),(-0.05-9.9j),(-0.05+9.9j),(20+0j)
(10+0j),(-0.05-10j),(-0.05+10j),(20+0j)
